"Date","RegionID","RegionName","State","Metro","County","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2019-04-30,36867,"Deer Trail","CO","Denver-Aurora-Lakewood","Arapahoe County",12087,270100,0.00558451228592703,0.00783582089552239,0.0997557003257329,0.122741412088155,0.0379533169700437,"2019-04","2019-Q2",270100,0,"2019-04"
2019-04-30,23883,"Burgaw","NC","Wilmington","Pender County",12088,134800,-0.0029585798816568,-0.0196363636363636,0.0862207896857373,0.0394298070666115,0.00814239040586351,"2018-12","2018-Q4",138000,-0.0231884057971014,"2018-11"
2019-04-30,51639,"Dalton","PA","Scranton--Wilkes-Barre--Hazleton","Lackawanna County",12089,177500,-0.0348015225666123,-0.0812629399585921,0.00339174674957603,0.0453452548940383,0.0144349471725016,"2019-01","2019-Q1",193200,-0.0812629399585921,"2018-05"
2019-04-30,10182,"Asbury","IA","Dubuque","Dubuque County",12090,244900,-0.00608766233766234,-0.00244399185336049,0.043015332197615,0.0353006524410324,0.0239957786717711,"2019-02","2019-Q1",246900,-0.00810044552450385,"2019-01"
2019-04-30,56257,"Mauriceville","TX","Beaumont-Port Arthur","Orange County",12091,150300,0.00737265415549598,0.0121212121212121,0.135196374622357,0.0515474967972804,0.0355362621997,"2019-04","2019-Q2",150300,0,"2019-04"
2019-04-30,9660,"Treynor","IA","Omaha-Council Bluffs","Pottawattamie County",12092,187100,-0.000534188034188034,-0.0285565939771547,-0.0188778185631883,0.043252856386746,0.0251840708402404,"2018-08","2018-Q3",194900,-0.0400205233453053,"2018-02"
2019-04-30,28805,"Hanley Hills","MO","St. Louis","Saint Louis County",12093,44000,-0.0393013100436681,-0.0852390852390852,-0.140625,0.0218122764772555,,"2017-08","2017-Q3",54200,-0.188191881918819,"2016-08"
2019-04-30,14492,"Waterman","IL","Chicago-Naperville-Elgin","DeKalb County",12094,162300,-0.00551470588235294,-0.00673194614443084,0.0607843137254902,0.0478113016789765,-0.000614063931113518,"2007-01","2007-Q1",187600,-0.134861407249467,"2003-12"
2019-04-30,56845,"Saint Inigoes","MD","California-Lexington Park","Saint Marys County",12095,304800,-0.00910273081924577,-0.0215088282504013,0.00960582974494866,0.014880758557601,0.00249451552021474,"2006-07","2006-Q3",369600,-0.175324675324675,"2005-02"
2019-04-30,21162,"Warrensville","NC",,"Ashe County",12096,100800,-0.00591715976331361,0.00398406374501992,0.144154370034052,0.043167563810135,-0.00331188095147428,"2007-09","2007-Q3",110100,-0.0844686648501362,"2006-08"
2019-04-30,36778,"Atlantic Beach","NY","New York-Newark-Jersey City","Nassau County",12097,910700,0.00330505673680732,0.00164980202375715,0.0475040257648953,0.0587978899622921,0.0234338094557873,"2019-04","2019-Q2",910700,0,"2019-04"
2019-04-30,50004,"Terrell","NC","Hickory-Lenoir-Morganton","Catawba County",12098,516700,0.00174486234974796,0.022763262074426,0.130139982502187,0.0606646872027437,-0.000809237336512947,"2009-08","2009-Q3",528800,-0.0228819969742814,"2009-04"
2019-04-30,56496,"Stafford","KS",,"Stafford County",12099,37400,0,0.0331491712707182,0.0747126436781609,-0.0243225964216228,,"2011-03","2011-Q1",55800,-0.329749103942652,
2019-04-30,40231,"Palmer Lake","CO","Colorado Springs","El Paso County",12100,350400,-0.00341296928327645,0.0106720507643496,0.0686184812442818,0.0902260108319466,0.0467444804968336,"2019-03","2019-Q1",351600,-0.00341296928327645,"2019-03"
2019-04-30,396818,"Beaverdam Lake-Salisbury Mills","NY","New York-Newark-Jersey City","Orange County",12101,270800,-0.00987202925045704,-0.00805860805860806,0.0308336505519604,0.0249552463943354,-0.00226113628619073,"2006-09","2006-Q3",338000,-0.198816568047337,"2004-01"
2019-04-30,44844,"Daleville","VA","Roanoke","Botetourt County",12102,266400,-0.000375234521575985,0,0.0660264105642257,0.0390161735590471,0.0127928373385515,"2019-02","2019-Q1",266600,-0.000750187546886722,"2019-01"
2019-04-30,9973,"Vienna","MD","Cambridge","Dorchester County",12103,115300,-0.00259515570934256,-0.0111492281303602,-0.0310924369747899,0.00510769800447064,-0.00684682582409468,"2006-06","2006-Q2",155500,-0.258520900321543,"2004-12"
2019-04-30,23338,"Sloan","IA","Sioux City","Woodbury County",12104,134700,0.003725782414307,0.003725782414307,0.0793269230769231,0.0438247985094535,0.0492337684303337,"2019-04","2019-Q2",134700,0,"2019-04"
2019-04-30,50339,"Sea Isle City","NJ","Ocean City","Cape May County",12105,732100,0.00246474051759551,0.0118866620594333,0.0682912593024953,0.0385997831235283,0.0157961103946509,"2006-04","2006-Q2",821200,-0.10849975645397,"2005-04"
2019-04-30,55017,"Walker","IA","Cedar Rapids","Linn County",12106,171600,0.0100058858151854,0.0257023311416617,0.084017687934302,0.0488372867840543,0.0316163119126904,"2019-04","2019-Q2",171600,0,"2019-04"
2019-04-30,47129,"Piperton","TN","Memphis","Fayette County",12107,352800,0.00598802395209581,0.0126291618828932,0.060414788097385,0.0828194449253614,0.0367992390763747,"2019-04","2019-Q2",352800,0,"2019-04"
2019-04-30,56601,"Saulsbury","TN",,"Hardeman County",12108,78900,-0.01375,-0.0247218788627936,0.0534045393858478,0.0404819354301644,0.0245629227464492,"2018-11","2018-Q4",81700,-0.0342717258261934,"2018-08"
2019-04-30,40412,"Porterfield","WI","Marinette","Marinette County",12109,148500,0.0047361299052774,0.0150375939849624,0.123298033282905,0.0574731264761195,0.0241275734907513,"2019-04","2019-Q2",148500,0,"2019-04"
2019-04-30,53197,"Maugansville","MD","Hagerstown-Martinsburg","Washington County",12110,182000,-0.00273972602739726,-0.00164563905650027,0.0731132075471698,0.0330378041139323,0.00496827022262147,"2006-09","2006-Q3",226800,-0.197530864197531,"2005-02"
2019-04-30,20537,"Snowmass Village","CO","Glenwood Springs","Pitkin County",12111,943900,-0.000423594196759504,-0.0105870020964361,0.0975581395348837,0.0240126083030048,0.00637312617796115,"2007-05","2007-Q2",1086300,-0.131087176654699,"2006-07"
2019-04-30,25245,"Indian Shores","FL","Tampa-St. Petersburg-Clearwater","Pinellas County",12112,410900,-0.000729571984435798,-0.0079671656204732,0.0300827275006267,0.064934697357949,0.0324049825854547,"2006-07","2006-Q3",551600,-0.25507614213198,"2005-02"
2019-04-30,16419,"Clarence","IA",,"Cedar County",12113,112000,0,-0.00532859680284192,0.032258064516129,0.0428610202473969,0.0196443337360992,"2018-12","2018-Q4",113100,-0.00972590627763042,"2018-10"
2019-04-30,10663,"Calhoun City","MS",,"Calhoun County",12114,71600,-0.00278551532033426,0.00845070422535211,0.0346820809248555,0.0176579661817027,,"2017-11","2017-Q4",77400,-0.0749354005167959,"2016-03"
2019-04-30,19968,"Pittsfield","NY","Oneonta","Otsego County",12115,98600,0.00407331975560081,-0.00101317122593718,0.0522945570971185,0.0253485756577327,0.0183580709863109,"2018-11","2018-Q4",99600,-0.0100401606425703,"2018-09"
2019-04-30,15417,"Drake","CO","Fort Collins","Larimer County",12116,341900,-0.00494761350407451,0.0094478889873044,0.162529751785107,0.115441458199509,0.0486572990800849,"2019-03","2019-Q1",343600,-0.00494761350407451,"2019-02"
2019-04-30,44110,"Bellefonte","DE","Philadelphia-Camden-Wilmington","New Castle County",12117,213100,-0.0055996266915539,-0.000469043151969981,0.0118708452041785,0.047836864262728,0.0111679032410512,"2007-02","2007-Q1",232600,-0.0838349097162511,"2005-12"
2019-04-30,8216,"Dawson","IL","Springfield","Sangamon County",12118,150700,0.00870147255689424,0.0196211096075778,0.00466666666666667,-0.00276392751955246,0.0158269696562472,"2016-09","2016-Q3",161700,-0.0680272108843537,"2016-06"
2019-04-30,9950,"Lincoln","VT",,"Addison County",12119,229100,0.00218722659667542,-0.00607375271149675,-0.0180025717959709,0.0213848681540274,0.0122684796468793,"2018-05","2018-Q2",234000,-0.0209401709401709,"2018-03"
2019-04-30,9321,"Wrightsville Beach","NC","Wilmington","New Hanover County",12120,864600,0.0018539976825029,0.0228321306045191,0.096234309623431,0.0519440867397527,-0.0203449962801184,"2007-11","2007-Q4",1222300,-0.292645013499141,
2019-04-30,199715,"Brookfield Center","OH","Youngstown-Warren-Boardman","Trumbull County",12121,129300,-0.0107115531752104,-0.0393759286775631,0.115616911130285,0.0613667016981174,0.0179750326429382,"2019-01","2019-Q1",134600,-0.0393759286775631,"2018-11"
2019-04-30,38975,"Hewlett Harbor","NY","New York-Newark-Jersey City","Nassau County",12122,1304900,0.00585832112849765,0.0174658869395711,0.0717864476386037,0.0639123112698823,0.0049282952190064,"2007-05","2007-Q2",1406300,-0.0721041029652279,"2006-01"
